tema,vibe,pergunta,indicador,M1,M2,M3,M4
1 - Informações sobre o Coronavírus,,Q8 (ANTIGA Q6). Você conhece alguém que está ou que pode estar infectado pelo coronavírus?,Conhecem pessoa(s) infectadas pelo Coronavírus que já tiveram confirmação ,8.43,21.78,35.57,45.55
1 - Informações sobre o Coronavírus,,Q8 (ANTIGA Q6). Você conhece alguém que está ou que pode estar infectado pelo coronavírus?,Conhecem pessoa(s) pessoas com suspeita/casos em investigação de contaminação pelo Coronavírus,10.23,11.13,10.17,10.13
1 - Informações sobre o Coronavírus,DESEJO DE IMUNIDADE ,Q8 (ANTIGA Q6). Você conhece alguém que está ou que pode estar infectado pelo coronavírus?,Estão infectados pelo Coronavírus e já receberam confirmação do diagnóstico,0.60,0.85,1.15,1.78
1 - Informações sobre o Coronavírus,DESEJO DE IMUNIDADE ,Q8 (ANTIGA Q6). Você conhece alguém que está ou que pode estar infectado pelo coronavírus?,"Podem estar infectados pelo Coronavírus, mas ainda não receberam confirmação do diagnóstico",0.35,0.58,0.83,0.93
1 - Informações sobre o Coronavírus,,Q8 (ANTIGA Q6). Você conhece alguém que está ou que pode estar infectado pelo coronavírus?,Não conhecem ninguém que pode estar infectado pelo Coronavírus,80.88,65.68,52.29,41.63
1 - Informações sobre o Coronavírus,INFOSTESIA,"Q9 (ANTIGA Q7). Quanto a frequência do seu consumo de informações e notícias, você diria que após o coronavírus ela:",Frequência do consumo de informações e notícias após o coronavírus aumentou muito,53.92,42.57,42.77,39.08
1 - Informações sobre o Coronavírus,INFOSTESIA,"Q9 (ANTIGA Q7). Quanto a frequência do seu consumo de informações e notícias, você diria que após o coronavírus ela:",Frequência do consumo de informações e notícias após o coronavírus aumentou um pouco,28.49,30.41,31.75,31.94
1 - Informações sobre o Coronavírus,INFOSTESIA,"Q9 (ANTIGA Q7). Quanto a frequência do seu consumo de informações e notícias, você diria que após o coronavírus ela:",Frequência do consumo de informações e notícias após o coronavírus se manteve a mesma,15.29,22.39,20.45,22.51
1 - Informações sobre o Coronavírus,INFOSTESIA,"Q9 (ANTIGA Q7). Quanto a frequência do seu consumo de informações e notícias, você diria que após o coronavírus ela:",Frequência do consumo de informações e notícias após o coronavírus diminuiu um pouco,1.66,3.12,3.49,4.22
1 - Informações sobre o Coronavírus,INFOSTESIA,"Q9 (ANTIGA Q7). Quanto a frequência do seu consumo de informações e notícias, você diria que após o coronavírus ela:",Frequência do consumo de informações e notícias após o coronavírus diminuiu muito,0.65,1.52,1.55,2.27
1 - Informações sobre o Coronavírus,,Q10 (ANTIGA Q8). Onde você tem buscado informações sobre o Coronavírus nessa quarentena?,Buscam informações sobre o Coronavírus em canais de TV aberta,68.32,59.80,61.14,59.84
1 - Informações sobre o Coronavírus,,Q10 (ANTIGA Q8). Onde você tem buscado informações sobre o Coronavírus nessa quarentena?,Buscam informações sobre o Coronavírus em sites de notícias,63.42,61.08,59.22,58.62
1 - Informações sobre o Coronavírus,,Q10 (ANTIGA Q8). Onde você tem buscado informações sobre o Coronavírus nessa quarentena?,Buscam informações sobre o Coronavírus em pesquisas no Google,42.79,42.24,41.77,40.60
1 - Informações sobre o Coronavírus,,Q10 (ANTIGA Q8). Onde você tem buscado informações sobre o Coronavírus nessa quarentena?,"Buscam informações sobre o Coronavírus em Redes Sociais (Instagram, Facebook, Twitter, etc)",47.74,42.45,40.88,39.40
1 - Informações sobre o Coronavírus,,Q10 (ANTIGA Q8). Onde você tem buscado informações sobre o Coronavírus nessa quarentena?,Buscam informações sobre o Coronavírus em canais de TV fechada (assinaturas),30.29,25.55,27.79,27.77
1 - Informações sobre o Coronavírus,,Q10 (ANTIGA Q8). Onde você tem buscado informações sobre o Coronavírus nessa quarentena?,Buscam informações sobre o Coronavírus no YouTube,25.59,23.00,22.86,21.32
1 - Informações sobre o Coronavírus,,Q10 (ANTIGA Q8). Onde você tem buscado informações sobre o Coronavírus nessa quarentena?,Buscam informações sobre o Coronavírus em serviços de Streaming (Ex: Globoplay),7.80,6.63,6.26,6.50
1 - Informações sobre o Coronavírus,,Q10 (ANTIGA Q8). Onde você tem buscado informações sobre o Coronavírus nessa quarentena?,"Buscam informações sobre o Coronavírus em outros canais (rádio, jornais, sites do governo, sites especializados etc)",2.41,2.08,1.94,1.97
1 - Informações sobre o Coronavírus,,Q11 (ANTIGA Q9). Qual o principal canal de informações sobre o Coronavírus você tem consultado nessa quarentena?,Têm como o principal canal de informações sobre o Coronavírus os Canais de TV aberta,37.81,33.03,33.66,32.32
1 - Informações sobre o Coronavírus,,Q11 (ANTIGA Q9). Qual o principal canal de informações sobre o Coronavírus você tem consultado nessa quarentena?,Têm como o principal canal de informações sobre o Coronavírus os Sites de notícias,22.71,24.47,23.35,23.41
1 - Informações sobre o Coronavírus,,Q11 (ANTIGA Q9). Qual o principal canal de informações sobre o Coronavírus você tem consultado nessa quarentena?,"Têm como o principal canal de informações sobre o Coronavírus as Redes Sociais (Instagram, Facebook, etc)",11.57,10.70,11.31,11.77
1 - Informações sobre o Coronavírus,,Q11 (ANTIGA Q9). Qual o principal canal de informações sobre o Coronavírus você tem consultado nessa quarentena?,Têm como o principal canal de informações sobre o Coronavírus as pesquisas no Google,8.92,11.50,10.55,10.92
1 - Informações sobre o Coronavírus,,Q11 (ANTIGA Q9). Qual o principal canal de informações sobre o Coronavírus você tem consultado nessa quarentena?,Têm como o principal canal de informações sobre o Coronavírus os Canais de TV fechada (assinaturas),9.02,7.75,8.84,8.66
1 - Informações sobre o Coronavírus,,Q11 (ANTIGA Q9). Qual o principal canal de informações sobre o Coronavírus você tem consultado nessa quarentena?,Têm como o principal canal de informações sobre o Coronavírus o YouTube,4.81,5.30,4.95,4.96
1 - Informações sobre o Coronavírus,,Q11 (ANTIGA Q9). Qual o principal canal de informações sobre o Coronavírus você tem consultado nessa quarentena?,Têm como o principal canal de informações sobre o Coronavírus o WhatsApp,4.37,3.01,2.74,3.59
1 - Informações sobre o Coronavírus,,Q11 (ANTIGA Q9). Qual o principal canal de informações sobre o Coronavírus você tem consultado nessa quarentena?,Têm como o principal canal de informações sobre o Coronavírus o Twitter,1.35,1.95,2.24,2.11
1 - Informações sobre o Coronavírus,,Q11 (ANTIGA Q9). Qual o principal canal de informações sobre o Coronavírus você tem consultado nessa quarentena?,Têm como o principal canal de informações sobre o Coronavírus os Serviços de Streaming (Ex: Globoplay),0.57,0.61,0.64,0.67
1 - Informações sobre o Coronavírus,,Q11 (ANTIGA Q9). Qual o principal canal de informações sobre o Coronavírus você tem consultado nessa quarentena?,Têm como o principal canal de informações sobre o Coronavírus outros canais não listados,1.74,1.68,1.73,1.59
1 - Informações sobre o Coronavírus,,"Q12 (ANTIGA Q10). Em relação a epidemia de coronavírus no Brasil e no mundo, o quanto você concorda com as seguintes afirmações:",Concordam totalmente que as informações passadas por JORNALISTAS condizem com a realidade da epidemia,17.50,14.05,16.40,13.75
1 - Informações sobre o Coronavírus,,"Q12 (ANTIGA Q10). Em relação a epidemia de coronavírus no Brasil e no mundo, o quanto você concorda com as seguintes afirmações:",Concordam que as informações passadas por JORNALISTAS condizem com a realidade da epidemia,48.50,42.98,42.74,43.98
1 - Informações sobre o Coronavírus,,"Q12 (ANTIGA Q10). Em relação a epidemia de coronavírus no Brasil e no mundo, o quanto você concorda com as seguintes afirmações:",Sentem-se indiferentes se as informações passadas por JORNALISTAS condizem com a realidade da epidemia,13.70,18.45,18.65,20.45
1 - Informações sobre o Coronavírus,,"Q12 (ANTIGA Q10). Em relação a epidemia de coronavírus no Brasil e no mundo, o quanto você concorda com as seguintes afirmações:",Discordam que as informações passadas por JORNALISTAS condizem com a realidade da epidemia,14.10,16.35,14.15,14.58
1 - Informações sobre o Coronavírus,,"Q12 (ANTIGA Q10). Em relação a epidemia de coronavírus no Brasil e no mundo, o quanto você concorda com as seguintes afirmações:",Discordo totalmente que as informações passadas por JORNALISTAS condizem com a realidade da epidemia,6.20,8.18,8.07,7.25
1 - Informações sobre o Coronavírus,CORONALOVE,Q12 (ANTIGA Q10).B Acredito que as informações passadas por AMIGOS/FAMILIARES condizem com a realidade da epidemia.,Concordam totalmente que as informações passadas por AMIGOS/FAMILIARES condizem com a realidade da epidemia.,7.00,7.15,7.52,6.28
1 - Informações sobre o Coronavírus,CORONALOVE,Q12 (ANTIGA Q10).B Acredito que as informações passadas por AMIGOS/FAMILIARES condizem com a realidade da epidemia.,Concordam que as informações passadas por AMIGOS/FAMILIARES condizem com a realidade da epidemia.,31.00,29.55,28.42,29.05
1 - Informações sobre o Coronavírus,CORONALOVE,Q12 (ANTIGA Q10).B Acredito que as informações passadas por AMIGOS/FAMILIARES condizem com a realidade da epidemia.,São indiferentes se as informações passadas por AMIGOS/FAMILIARES condizem com a realidade da epidemia.,30.70,33.00,34.12,35.23
1 - Informações sobre o Coronavírus,CORONALOVE,Q12 (ANTIGA Q10).B Acredito que as informações passadas por AMIGOS/FAMILIARES condizem com a realidade da epidemia.,Discordam que as informações passadas por AMIGOS/FAMILIARES condizem com a realidade da epidemia.,24.40,22.90,22.15,22.08
1 - Informações sobre o Coronavírus,CORONALOVE,Q12 (ANTIGA Q10).B Acredito que as informações passadas por AMIGOS/FAMILIARES condizem com a realidade da epidemia.,Discordam totalmente que as informações passadas por AMIGOS/FAMILIARES condizem com a realidade da epidemia.,6.90,7.40,7.80,7.38
1 - Informações sobre o Coronavírus,,Q12 (ANTIGA Q10).C Eu acredito que as informações passadas por AUTORIDADES DO GOVERNO MUNICIPAL condizem com a realidade da epidemia.,Concordam totalmente que as informações passadas por AUTORIDADES DO GOVERNO MUNICIPAL condizem com a realidade da epidemia.,17.20,11.55,11.12,8.55
1 - Informações sobre o Coronavírus,,Q12 (ANTIGA Q10).C Eu acredito que as informações passadas por AUTORIDADES DO GOVERNO MUNICIPAL condizem com a realidade da epidemia.,Concordam  que as informações passadas por AUTORIDADES DO GOVERNO MUNICIPAL condizem com a realidade da epidemia.,49.20,40.23,38.64,37.33
1 - Informações sobre o Coronavírus,,Q12 (ANTIGA Q10).C Eu acredito que as informações passadas por AUTORIDADES DO GOVERNO MUNICIPAL condizem com a realidade da epidemia.,São indiferentes se as informações passadas por AUTORIDADES DO GOVERNO MUNICIPAL condizem com a realidade da epidemia.,12.60,19.55,20.85,23.45
1 - Informações sobre o Coronavírus,,Q12 (ANTIGA Q10).C Eu acredito que as informações passadas por AUTORIDADES DO GOVERNO MUNICIPAL condizem com a realidade da epidemia.,Discordam que as informações passadas por AUTORIDADES DO GOVERNO MUNICIPAL condizem com a realidade da epidemia.,14.80,21.18,20.50,21.18
1 - Informações sobre o Coronavírus,,Q12 (ANTIGA Q10).C Eu acredito que as informações passadas por AUTORIDADES DO GOVERNO MUNICIPAL condizem com a realidade da epidemia.,Discordam totalmente que as informações passadas por AUTORIDADES DO GOVERNO MUNICIPAL condizem com a realidade da epidemia.,6.20,7.50,8.90,9.50
1 - Informações sobre o Coronavírus,,Q12 (ANTIGA Q10).D Eu acredito que as informações passadas por AUTORIDADES DO GOVERNO ESTADUAL condizem com a realidade da epidemia. ,Concordam totalmente que as informações passadas por AUTORIDADES DO GOVERNO ESTADUAL condizem com a realidade da epidemia. ,0.00,9.43,9.50,6.95
1 - Informações sobre o Coronavírus,,Q12 (ANTIGA Q10).D Eu acredito que as informações passadas por AUTORIDADES DO GOVERNO ESTADUAL condizem com a realidade da epidemia. ,Concordam que as informações passadas por AUTORIDADES DO GOVERNO ESTADUAL condizem com a realidade da epidemia. ,0.00,42.85,39.32,36.93
1 - Informações sobre o Coronavírus,,Q12 (ANTIGA Q10).D Eu acredito que as informações passadas por AUTORIDADES DO GOVERNO ESTADUAL condizem com a realidade da epidemia. ,São indiferentes se as informações passadas por AUTORIDADES DO GOVERNO ESTADUAL condizem com a realidade da epidemia. ,0.00,20.20,21.67,24.85
1 - Informações sobre o Coronavírus,,Q12 (ANTIGA Q10).D Eu acredito que as informações passadas por AUTORIDADES DO GOVERNO ESTADUAL condizem com a realidade da epidemia. ,Discordam que as informações passadas por AUTORIDADES DO GOVERNO ESTADUAL condizem com a realidade da epidemia. ,0.00,19.78,20.25,21.10
1 - Informações sobre o Coronavírus,,Q12 (ANTIGA Q10).D Eu acredito que as informações passadas por AUTORIDADES DO GOVERNO ESTADUAL condizem com a realidade da epidemia. ,Discordam totalmente que as informações passadas por AUTORIDADES DO GOVERNO ESTADUAL condizem com a realidade da epidemia. ,0.00,7.75,9.27,10.18
1 - Informações sobre o Coronavírus,,Q12 (ANTIGA Q10).E Eu acredito que as informações passadas por AUTORIDADES DO GOVERNO FEDERAL condizem com a realidade da epidemia. ,Concordam totalmente que as informações passadas por AUTORIDADES DO GOVERNO FEDERAL condizem com a realidade da epidemia. ,0.00,8.65,8.92,7.28
1 - Informações sobre o Coronavírus,,Q12 (ANTIGA Q10).E Eu acredito que as informações passadas por AUTORIDADES DO GOVERNO FEDERAL condizem com a realidade da epidemia. ,Concordam que as informações passadas por AUTORIDADES DO GOVERNO FEDERAL condizem com a realidade da epidemia. ,0.00,31.75,27.39,27.43
1 - Informações sobre o Coronavírus,,Q12 (ANTIGA Q10).E Eu acredito que as informações passadas por AUTORIDADES DO GOVERNO FEDERAL condizem com a realidade da epidemia. ,São indiferentes se as informações passadas por AUTORIDADES DO GOVERNO FEDERAL condizem com a realidade da epidemia. ,0.00,21.15,21.97,22.83
1 - Informações sobre o Coronavírus,,Q12 (ANTIGA Q10).E Eu acredito que as informações passadas por AUTORIDADES DO GOVERNO FEDERAL condizem com a realidade da epidemia. ,Discordam que as informações passadas por AUTORIDADES DO GOVERNO FEDERAL condizem com a realidade da epidemia. ,0.00,22.23,21.07,21.13
1 - Informações sobre o Coronavírus,,Q12 (ANTIGA Q10).E Eu acredito que as informações passadas por AUTORIDADES DO GOVERNO FEDERAL condizem com a realidade da epidemia. ,Discordam totalmente que as informações passadas por AUTORIDADES DO GOVERNO FEDERAL condizem com a realidade da epidemia. ,0.00,16.23,20.65,21.35
1 - Informações sobre o Coronavírus,,Q13 (ANTIGA Q11). O quão confiável você acredita que são as informações passadas sobre os casos de coronavírus (COVID-19) em cada um desses canais?,Acreditam que as informações passadas sobre os casos de coronavírus (COVID-19) pela TV Aberta são muito confiáveis,40.15,9.88,11.55,10.13
1 - Informações sobre o Coronavírus,,Q13 (ANTIGA Q11). O quão confiável você acredita que são as informações passadas sobre os casos de coronavírus (COVID-19) em cada um desses canais?,Acreditam que as informações passadas sobre os casos de coronavírus (COVID-19)) pela TV Aberta são confiáveis,48.90,45.25,46.92,45.85
1 - Informações sobre o Coronavírus,,Q13 (ANTIGA Q11). O quão confiável você acredita que são as informações passadas sobre os casos de coronavírus (COVID-19) em cada um desses canais?,São indiferentes se as informações passadas sobre os casos de coronavírus (COVID-19)) pela TV Aberta são confiáveis,14.00,17.28,16.22,16.78
1 - Informações sobre o Coronavírus,,Q13 (ANTIGA Q11). O quão confiável você acredita que são as informações passadas sobre os casos de coronavírus (COVID-19) em cada um desses canais?,Acreditam que as informações passadas sobre os casos de coronavírus (COVID-19)) pela TV Aberta são pouco confiáveis,14.20,18.15,15.40,17.45
1 - Informações sobre o Coronavírus,,Q13 (ANTIGA Q11). O quão confiável você acredita que são as informações passadas sobre os casos de coronavírus (COVID-19) em cada um desses canais?,Acreditam que as informações passadas sobre os casos de coronavírus (COVID-19)) pela TV Aberta não são confiáveis,7.20,9.45,9.92,9.80
1 - Informações sobre o Coronavírus,,Q13 (ANTIGA Q11).B TV Fechada,Acreditam que as informações passadas sobre os casos de coronavírus (COVID-19) pela TV Fechada são muito confiáveis,11.40,9.30,10.37,9.43
1 - Informações sobre o Coronavírus,,Q13 (ANTIGA Q11).B TV Fechada,Acreditam que as informações passadas sobre os casos de coronavírus (COVID-19)) pela TV Fechada são confiáveis,53.40,47.03,48.01,46.43
1 - Informações sobre o Coronavírus,,Q13 (ANTIGA Q11).B TV Fechada,São indiferentes se as informações passadas sobre os casos de coronavírus (COVID-19)) pela TV Fechada são confiáveis,21.50,26.23,23.92,24.38
1 - Informações sobre o Coronavírus,,Q13 (ANTIGA Q11).B TV Fechada,Acreditam que as informações passadas sobre os casos de coronavírus (COVID-19)) pela TV Fechada são pouco confiáveis,11.00,13.48,13.35,15.03
1 - Informações sobre o Coronavírus,,Q13 (ANTIGA Q11).B TV Fechada,Acreditam que as informações passadas sobre os casos de coronavírus (COVID-19)) pela TV Fechada não são confiáveis,2.70,3.98,4.35,4.75
1 - Informações sobre o Coronavírus,,Q13 (ANTIGA Q11).C Sites de notícias,Acreditam que as informações passadas sobre os casos de coronavírus (COVID-19) pelos Sites de notícias são muito confiáveis,9.60,7.90,8.37,7.55
1 - Informações sobre o Coronavírus,,Q13 (ANTIGA Q11).C Sites de notícias,Acreditam que as informações passadas sobre os casos de coronavírus (COVID-19)) pelos Sites de notícias são confiáveis,50.80,47.58,47.41,46.53
1 - Informações sobre o Coronavírus,,Q13 (ANTIGA Q11).C Sites de notícias,São indiferentes se as informações passadas sobre os casos de coronavírus (COVID-19) pelos Sites de notícias  são confiáveis,17.60,20.70,21.45,22.23
1 - Informações sobre o Coronavírus,,Q13 (ANTIGA Q11).C Sites de notícias,Acreditam que as informações passadas sobre os casos de coronavírus (COVID-19) pelos Sites de notícias são pouco confiáveis,18.90,19.85,18.00,19.23
1 - Informações sobre o Coronavírus,,Q13 (ANTIGA Q11).C Sites de notícias,Acreditam que as informações passadas sobre os casos de coronavírus (COVID-19) pelos Sites de notícias não são confiáveis,3.10,3.98,4.78,4.48
1 - Informações sobre o Coronavírus,,Q13 (ANTIGA Q11).D Jornal Impresso,Acreditam que as informações passadas sobre os casos de coronavírus (COVID-19) pelo Jornal Impresso são muito confiáveis,9.00,7.03,8.25,7.18
1 - Informações sobre o Coronavírus,,Q13 (ANTIGA Q11).D Jornal Impresso,Acreditam que as informações passadas sobre os casos de coronavírus (COVID-19) pelo Jornal Impresso são confiáveis,48.60,43.03,43.94,43.45
1 - Informações sobre o Coronavírus,,Q13 (ANTIGA Q11).D Jornal Impresso,São indiferentes se as informações passadas sobre os casos de coronavírus (COVID-19) pelo Jornal Impresso são confiáveis,25.10,28.23,27.07,26.93
1 - Informações sobre o Coronavírus,,Q13 (ANTIGA Q11).D Jornal Impresso,Acreditam que as informações passadas sobre os casos de coronavírus (COVID-19) pelo Jornal Impresso são pouco confiáveis,13.40,15.93,14.87,15.80
1 - Informações sobre o Coronavírus,,Q13 (ANTIGA Q11).D Jornal Impresso,Acreditam que as informações passadas sobre os casos de coronavírus (COVID-19) pelo Jornal Impresso não são confiáveis,3.90,5.80,5.87,6.65
1 - Informações sobre o Coronavírus,,Q13 (ANTIGA Q11).E Rádio,Acreditam que as informações passadas sobre os casos de coronavírus (COVID-19) pelo Rádio são muito confiáveis,9.40,6.15,6.75,6.58
1 - Informações sobre o Coronavírus,,Q13 (ANTIGA Q11).E Rádio,Acreditam que as informações passadas sobre os casos de coronavírus (COVID-19) pelo Rádio são confiáveis,51.00,43.63,44.44,44.38
1 - Informações sobre o Coronavírus,,Q13 (ANTIGA Q11).E Rádio,São indiferentes se as informações passadas sobre os casos de coronavírus (COVID-19) pelo Rádio são confiáveis,24.80,30.78,30.22,29.13
1 - Informações sobre o Coronavírus,,Q13 (ANTIGA Q11).E Rádio,Acreditam que as informações passadas sobre os casos de coronavírus (COVID-19) pelo Rádio são pouco confiáveis,12.70,15.60,14.70,15.48
1 - Informações sobre o Coronavírus,,Q13 (ANTIGA Q11).E Rádio,Acreditam que as informações passadas sobre os casos de coronavírus (COVID-19) pelo Rádio não são confiáveis,2.10,3.85,3.90,4.45
1 - Informações sobre o Coronavírus,,Q13 (ANTIGA Q11).F Redes Sociais,Acreditam que as informações passadas sobre os casos de coronavírus (COVID-19) pelas Redes Sociais são muito confiáveis,3.30,2.80,3.18,2.53
1 - Informações sobre o Coronavírus,,Q13 (ANTIGA Q11).F Redes Sociais,Acreditam que as informações passadas sobre os casos de coronavírus (COVID-19) pelas Redes Sociais são confiáveis,14.20,14.80,14.62,15.98
1 - Informações sobre o Coronavírus,,Q13 (ANTIGA Q11).F Redes Sociais,São indiferentes se as informações passadas sobre os casos de coronavírus (COVID-19) pelas Redes Sociais são confiáveis,22.70,21.68,23.47,23.13
1 - Informações sobre o Coronavírus,,Q13 (ANTIGA Q11).F Redes Sociais,Acreditam que as informações passadas sobre os casos de coronavírus (COVID-19) pelo Rádio são pouco confiáveis,45.00,44.63,42.27,41.38
1 - Informações sobre o Coronavírus,,Q13 (ANTIGA Q11).F Redes Sociais,Acreditam que as informações passadas sobre os casos de coronavírus (COVID-19) pelas Redes Sociais não são confiáveis,14.80,16.10,16.47,17.00
1 - Informações sobre o Coronavírus,,Q13 (ANTIGA Q11).G Revistas impressas,Acreditam que as informações passadas sobre os casos de coronavírus (COVID-19) pelas Revistas impressas são muito confiáveis,6.80,4.95,5.75,4.93
1 - Informações sobre o Coronavírus,,Q13 (ANTIGA Q11).G Revistas impressas,Acreditam que as informações passadas sobre os casos de coronavírus (COVID-19) pelas Revistas impressas são confiáveis,42.30,34.55,36.34,35.55
1 - Informações sobre o Coronavírus,,Q13 (ANTIGA Q11).G Revistas impressas,São indiferentes se as informações passadas sobre os casos de coronavírus (COVID-19) pelo Jornal Impresso são confiáveis,32.10,35.53,34.77,34.23
1 - Informações sobre o Coronavírus,,Q13 (ANTIGA Q11).G Revistas impressas,Acreditam que as informações passadas sobre os casos de coronavírus (COVID-19) pelas Revistas impressas são pouco confiáveis,15.10,18.28,16.40,18.65
1 - Informações sobre o Coronavírus,,Q13 (ANTIGA Q11).G Revistas impressas,Acreditam que as informações passadas sobre os casos de coronavírus (COVID-19) pelo Rádio não são confiáveis,3.70,6.70,6.75,6.65
1 - Informações sobre o Coronavírus,EGODEMIA,Q14 (ANTIGA Q10). Quais os aplicativos/sites que você tem utilizado com maior frequência nessa quarentena?,Netflix é o aplicativos/sites que tem utilizado com maior frequência nessa quarentena?,45.35,51.75,54.11,54.15
1 - Informações sobre o Coronavírus,EGODEMIA,Q14 (ANTIGA Q10). Quais os aplicativos/sites que você tem utilizado com maior frequência nessa quarentena?,"Redes Sociais (Instagram, Facebook, Twitter, etc) são os aplicativos/sites que tem utilizado com maior frequência nessa quarentena?",60.23,68.10,67.93,66.63
